TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Straight,Medium,Residential,Low,Low,Low,Night,Rain,50,332.61
Intersection,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,101.95
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Rain,50,183.47
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Gentle turn,Narrow,Highway,Low,Moderate,Moderate,Night,Clear,50,309.34
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Gentle turn,Wide,Highway,High,Low,Moderate,Day,unknown,50,88.9
Straight,Medium,Highway,High,Low,High,Day,Clear,50,76.75
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Straight,Medium,Highway,High,Low,Low,Night,Clear,50,114.25
Gentle turn,Wide,Residential,High,Low,Moderate,Night,Clear,50,153.51
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Rain,50,102.98
Sharp turn,Narrow,Highway,High,Low,Moderate,Day,Rain,50,152.18
Sharp turn,Wide,Highway,Low,Low,Moderate,Day,Clear,50,163.28
Straight,Wide,Highway,High,Low,High,Day,Clear,50,104.39
Straight,Wide,Highway,Low,Low,Low,Day,Clear,50,161.12
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Medium,Residential,High,Low,Low,Day,Rain,50,108.65
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Rain,50,286.2
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,50,65.69
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,50,83.99
Gentle turn,Narrow,Highway,Low,Low,Low,Night,Clear,50,333.76
Intersection,Wide,Highway,Low,Low,Moderate,Night,Clear,50,280.39
Straight,Wide,Highway,High,Moderate,Moderate,Day,Rain,50,127.16
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Rain,50,125.83
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Medium,Residential,High,Low,Low,Day,Clear,50,71.62
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Rain,50,177.54
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Gentle turn,Wide,Highway,Low,Low,Moderate,Night,Rain,50,385.19
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,50,207.8
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,50,169.48
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,50,83.99
Straight,Narrow,Highway,Low,Low,Low,Night,Clear,50,303.01
Straight,Wide,Highway,High,High,High,Day,Rain,50,200.2
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,High,Moderate,Low,Day,Clear,50,81.52
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Rain,50,182.12
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Sharp turn,Medium,Highway,High,Low,Low,Day,unknown,50,86.74
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,50,188.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,50,83.99
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,High,High,Moderate,Day,Clear,50,77.09
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Gentle turn,Medium,Highway,High,Low,Moderate,Day,unknown,50,65.36
Intersection,Medium,Highway,High,Low,Moderate,Night,Clear,50,115.71
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,105.89
Straight,Wide,Highway,High,Low,Low,Day,Clear,50,90.44
Intersection,Wide,Highway,High,Low,Low,Night,Clear,50,189.0
Gentle turn,Medium,Highway,High,Moderate,High,Day,Clear,50,94.1
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Sharp turn,Medium,Highway,High,Low,High,Day,Clear,50,93.41
Straight,Wide,Highway,Low,Moderate,Moderate,Day,Clear,50,149.34
Straight,Wide,Highway,Low,Low,Moderate,Night,,50,247.07
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Intersection,Medium,Highway,Low,Moderate,Moderate,Night,unknown,50,245.94
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,High,High,Moderate,Day,Clear,50,95.2
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Medium,Residential,Low,Moderate,Moderate,Day,Clear,50,118.27
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Sharp turn,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,102.01
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Intersection,Wide,Highway,Low,High,Moderate,Night,Clear,50,354.45
Straight,Wide,Highway,Low,Low,Moderate,Night,Clear,50,230.52
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,50,80.74
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Gentle turn,Medium,Highway,Low,High,Moderate,Night,Clear,50,236.0
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Straight,Wide,Highway,High,Low,Moderate,Day,Rain,50,114.24
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Gentle turn,Narrow,Highway,Low,Low,Moderate,Day,Clear,50,161.74
Straight,Wide,Residential,High,Low,Moderate,Day,Clear,50,81.11
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,50,95.13
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Intersection,Wide,Residential,Low,Low,Moderate,Day,Clear,50,175.77
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Intersection,Wide,Highway,Low,Low,Moderate,Night,Clear,50,280.39
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Straight,Wide,Highway,Low,Low,Moderate,Night,Clear,50,230.52
Straight,Wide,Residential,High,Low,Moderate,Day,Clear,50,81.11
Gentle turn,Medium,Residential,High,Moderate,Low,Day,Clear,50,87.81
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Medium,Residential,High,Low,Low,Day,Clear,50,71.62
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Wide,Highway,Low,Moderate,Moderate,Day,Rain,50,226.55
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,116.63
Straight,Wide,Highway,Low,Low,Low,Night,Rain,50,419.99
Straight,Medium,Residential,Low,Low,Moderate,Night,Rain,50,276.95
Straight,Wide,Residential,High,Moderate,Moderate,Day,Clear,50,90.29
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,50,98.64
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
Intersection,Medium,Highway,High,Moderate,Moderate,Night,Rain,50,195.39
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,50,80.92
Sharp turn,Wide,Residential,High,Low,Moderate,Day,Clear,50,98.72
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,50,90.78
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,50,73.12
Straight,Medium,Residential,Low,Low,Low,Night,Clear,50,219.25
Gentle turn,Medium,Highway,High,Moderate,High,Day,Clear,50,94.1
Straight,Wide,Residential,High,Low,Moderate,Day,Clear,50,81.11
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,50,169.48
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Fogg,50,192.04
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,50,188.65
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Intersection,Medium,Residential,High,Low,Moderate,Night,Clear,50,124.63
Intersection,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,128.8
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,74.96
Straight,Medium,Highway,Low,Low,Low,Night,Rain,50,308.79
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Wide,Highway,Low,Low,Moderate,Night,Rain,50,349.71
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,50,206.15
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Straight,Wide,City,High,Low,Moderate,Day,Clear,50,90.69
Straight,Wide,Highway,High,Low,Moderate,Day,Rain,50,114.24
Intersection,Medium,Highway,High,High,Moderate,Night,,50,156.78
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,50,104.78
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,50,104.78
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,74.96
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,75.0
Gentle turn,Narrow,Highway,Low,Low,Low,Night,Clear,50,333.76
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,50,92.52
Straight,Medium,Residential,Low,Low,Low,Night,Clear,50,219.25
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,Low,Low,Low,Day,Fogg,50,188.12
Gentle turn,Wide,Highway,High,Moderate,High,Night,Clear,50,219.9
Sharp turn,Wide,Highway,Low,Low,Low,Night,Clear,50,336.93
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Intersection,,Highway,Low,Moderate,Moderate,Day,,50,143.84
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,50,169.48
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Straight,Wide,Highway,High,Low,Low,Day,Rain,50,137.2
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,74.96
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Straight,Medium,Highway,Low,Low,Low,Night,Rain,50,308.79
Intersection,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,101.95
Straight,Wide,City,High,Low,Moderate,Night,Rain,50,236.38
Straight,Medium,Highway,Low,Moderate,Low,Night,Rain,50,343.72
Gentle turn,Wide,City,Low,Low,Low,Night,Clear,50,367.23
Straight,Wide,Highway,High,Low,Moderate,Night,Rain,50,196.29
Sharp turn,Wide,Highway,High,Low,Moderate,Night,Clear,50,157.47
Sharp turn,Wide,Highway,Low,Low,Moderate,Day,Clear,50,163.28
Straight,Wide,Highway,High,Low,Moderate,Night,Clear,50,129.39
Straight,Wide,Residential,High,Low,Low,Day,Clear,50,97.41
Straight,Wide,Residential,High,Moderate,Moderate,Day,Clear,50,90.29
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Gentle turn,Wide,Highway,Low,Moderate,Moderate,Night,unknown,50,302.92
Straight,Medium,Highway,High,Low,Low,Day,Rain,50,100.87
Straight,Medium,Highway,Low,Low,High,Night,Fogg,50,373.08
Straight,Medium,Highway,High,Low,Moderate,Night,Rain,50,144.32
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Medium,Highway,High,High,Moderate,Day,Clear,50,69.99
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Rain,50,286.2
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,50,226.57
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
Straight,Medium,Residential,Low,Low,Moderate,Night,Rain,50,276.95
Straight,Wide,Highway,High,Low,Low,Day,Clear,50,90.44
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Wide,Highway,High,Low,Low,Day,Clear,50,90.44
Straight,Wide,Highway,High,Moderate,Moderate,Night,Clear,50,144.02
Straight,Wide,Highway,Low,Moderate,Low,Night,Clear,50,308.15
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,50,114.06
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,50,206.27
Sharp turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,50,80.79
Straight,Wide,Highway,High,Moderate,High,Day,Clear,50,116.2
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,50,65.69
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,50,98.64
Straight,Wide,Highway,Low,Low,Moderate,Night,Clear,50,230.52
Straight,Wide,Residential,Low,Low,Low,Night,Rain,50,452.38
Straight,Medium,Highway,High,High,Moderate,Night,Clear,50,120.26
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,50,104.78
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Straight,Wide,Highway,High,Moderate,High,Day,Clear,50,116.2
Straight,Medium,Highway,High,Moderate,High,Day,Clear,50,85.43
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Rain,50,283.21
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,unknown,50,128.67
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,50,207.8
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Sharp turn,Wide,Residential,High,Low,Moderate,Day,Clear,50,98.72
Straight,Wide,Highway,High,Moderate,Moderate,Day,Rain,50,127.16
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Rain,50,283.21
Straight,Wide,Residential,Low,Low,Low,Night,Clear,50,298.2
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,50,66.38
Gentle turn,Wide,Highway,Low,Low,Low,Night,Clear,50,304.93
Gentle turn,Wide,Highway,Low,Low,Moderate,Day,Rain,50,224.19
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Residential,High,Low,Low,Day,Clear,50,71.62
Straight,Wide,Highway,High,Low,Moderate,Day,Rain,50,114.24
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Gentle turn,Wide,Highway,Low,Low,Moderate,Night,Clear,50,253.91
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Straight,Wide,Highway,High,Low,Low,Day,Clear,50,90.44
Straight,Wide,Highway,Low,Low,Moderate,Day,Clear,50,134.16
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,High,Moderate,High,Day,Clear,50,94.1
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,50,186.68
Straight,Wide,Highway,Low,Moderate,Low,Night,Clear,50,308.15
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,116.63
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Rain,50,312.92
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,50,182.56
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Gentle turn,Wide,Residential,High,Low,Moderate,Day,Clear,50,89.34
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Sharp turn,Wide,Highway,High,Low,Low,Day,Rain,50,166.98
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,50,78.89
Sharp turn,Wide,Highway,High,Low,Low,Day,Rain,50,166.98
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,50,72.54
Sharp turn,Medium,Residential,High,Low,Low,Day,Clear,50,87.17
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Intersection,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,101.95
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,50,104.78
Straight,Wide,Highway,High,Moderate,Moderate,Day,Rain,50,127.16
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,High,Low,Low,Day,Rain,50,137.2
Gentle turn,Wide,Highway,High,Moderate,Moderate,Night,Clear,50,158.63
Gentle turn,Medium,City,High,Low,Moderate,Day,Fogg,50,116.62
Straight,Medium,Residential,Low,Low,Low,Night,Rain,50,332.61
Gentle turn,Medium,Highway,Low,Moderate,Low,Night,Clear,50,249.56
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.34
Intersection,Wide,Highway,Low,Low,Moderate,Night,Clear,50,280.39
Gentle turn,Wide,Highway,Low,Low,Low,Night,Clear,50,304.93
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,83.82
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,50,83.99
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Low,Low,Day,Clear,50,66.49
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Wide,Highway,High,Low,Low,Day,Clear,50,90.44
Sharp turn,Wide,Highway,High,Low,Low,Day,Clear,50,110.07
Sharp turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.65
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Gentle turn,Medium,Highway,High,Low,Moderate,Day,unknown,50,65.36
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,116.63
Straight,Wide,Highway,High,High,Moderate,Day,Clear,50,95.2
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,50,206.27
Sharp turn,Wide,Highway,High,Low,Low,Night,Clear,50,189.11
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,74.96
Sharp turn,Wide,Residential,Low,Low,Moderate,Day,unknown,50,188.51
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,50,65.69
Sharp turn,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,102.01
Straight,Medium,Highway,High,High,Moderate,Day,Clear,50,69.99
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Straight,Medium,Highway,High,Low,Low,Day,Rain,50,100.87
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,50,83.99
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,50,91.59
Sharp turn,Medium,Highway,High,Low,Moderate,Day,,50,72.22
Straight,Medium,Highway,Low,Low,Moderate,Night,Rain,50,257.12
Straight,Medium,Residential,High,Low,Low,Day,unknown,50,76.76
Gentle turn,Medium,Highway,High,High,Moderate,Day,Rain,50,116.96
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Straight,Medium,Highway,High,Low,Moderate,Day,,50,59.34
Straight,Medium,Highway,Low,Low,Low,Night,unknown,50,218.16
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Wide,Highway,Low,Low,Moderate,Day,Clear,50,134.16
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,50,73.12
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,50,98.64
Gentle turn,Wide,Highway,Low,Moderate,Moderate,Night,Clear,50,282.62
Straight,Medium,Highway,Low,Moderate,Low,Night,Rain,50,343.72
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,50,65.69
Gentle turn,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,92.33
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Intersection,Medium,Highway,Low,Moderate,Moderate,Day,Clear,50,133.55
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,50,80.92
Straight,Wide,Highway,Low,Low,Low,Night,Clear,50,276.84
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,50,186.68
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,50,55.37
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,75.0
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,50,114.06
Straight,Medium,Residential,Low,Low,Low,Night,Rain,50,332.61
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,50,82.94
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Rain,50,182.12
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,50,65.69
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
Gentle turn,Narrow,Highway,High,Low,High,Night,Clear,50,216.23
Intersection,Wide,Highway,High,Low,High,Day,Clear,50,126.97
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
Intersection,Wide,Highway,High,Moderate,Moderate,Day,Clear,50,101.95
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Rain,50,315.24
Straight,Medium,Residential,High,Low,Low,Night,Clear,50,123.06
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,67.38
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,50,75.3
Sharp turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,50,128.87
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Straight,Wide,Highway,High,Low,Low,Night,Clear,50,155.39
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,50,60.98
Straight,Medium,Residential,Low,Moderate,Low,Night,Clear,50,244.04
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,67.88
Straight,Medium,Highway,Low,Low,Low,Night,Clear,50,203.55
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,50,59.64
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,50,61.63
